"id","tanggal","jam","magnitude","kedalaman","wilayah","potensi","koordinat"
"1","30 Jul 2026","18:17:13 WIB","4.1","39 km","Pusat gempa berada di laut 86 km baratdaya Kab. Sukabumi","Gempa ini dirasakan untuk diteruskan pada masyarakat","-7.73,106.33"
"2","29 Jul 2026","20:23:52 WIB","5.3","10 km","189 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT","Tidak berpotensi tsunami","5.27,125.11"
"3","26 Jul 2026","17:57:43 WIB","5.5","26 km","19 km BaratDaya KAB-KUPANG-NTT","Tidak berpotensi tsunami","-10.00,123.71"
"4","24 Jul 2026","19:14:29 WIB","5.5","10 km","61 km Tenggara SARMI-PAPUA","Tidak berpotensi tsunami","-2.37,139.01"
"5","24 Jul 2026","05:58:34 WIB","5.8","10 km","117 km BaratDaya TERNATE-MALUT","Tidak berpotensi tsunami","0.72,126.31"
"6","24 Jul 2026","05:50:25 WIB","5.4","10 km","185 km BaratDaya ENGGANO-BENGKULU","Tidak berpotensi tsunami","-5.98,100.72"
"7","24 Jul 2026","03:15:15 WIB","5.1","10 km","65 km Tenggara SARMI-PAPUA","Tidak berpotensi tsunami","-2.40,139.02"
"8","22 Jul 2026","11:18:23 WIB","5.6","10 km","41 km TimurLaut KAB-GAYOLUES-ACEH","Tidak berpotensi tsunami","4.25,97.62"
"9","22 Jul 2026","01:33:21 WIB","5.2","10 km","234 km BaratLaut PULAUKARATUNG-SULUT","Tidak berpotensi tsunami","5.96,125.34"
"10","19 Jul 2026","15:11:08 WIB","5.0","23 km","79 km BaratDaya KAB-SUKABUMI-JABAR","Tidak berpotensi tsunami","-7.70,106.54"
"11","18 Jul 2026","09:23:39 WIB","5.5","10 km","146 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT","Tidak berpotensi tsunami","4.72,124.78"
"12","14 Jul 2026","22:49:37 WIB","6.2","10 km","198 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT","Tidak berpotensi tsunami","5.34,125.06"
"13","12 Jul 2026","20:46:35 WIB","5.4","10 km","37 km TimurLaut BUOL-SULTENG","Tidak berpotensi tsunami","1.31,121.38"
"14","12 Jul 2026","20:20:25 WIB","5.3","13 km","2 km BaratDaya WAIKABUBAK-NTT","Tidak berpotensi tsunami","-9.65,119.37"
"15","12 Jul 2026","00:49:28 WIB","5.1","10 km","147 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT","Tidak berpotensi tsunami","4.93,125.40"
"16","11 Jul 2026","17:51:09 WIB","5.6","10 km","165 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT","Tidak berpotensi tsunami","5.10,125.48"
"17","01 Agu 2026","06:15:51 WIB","5.1","10 km","42 km BaratLaut SERAMBAGIANTIMUR-MALUKU","Tidak berpotensi tsunami","-2.80,130.25"
"18","01 Agu 2026","03:18:54 WIB","5.5","11 km","44 km BaratLaut SERAMBAGIANTIMUR-MALUKU","Tidak berpotensi tsunami","-2.81,130.22"
