"id","provinsi","kepadatan"
"36","ACEH","92"
"37","SUMATERA UTARA","205"
"38","SUMATERA BARAT","133"
"39","RIAU","75"
"40","JAMBI","72"
"41","SUMATERA SELATAN","93"
"42","BENGKULU","102"
"43","LAMPUNG","262"
"44","KEP. BANGKA BELITUNG","90"
"45","KEP. RIAU","258"
"46","DKI JAKARTA","15978"
"47","JAWA BARAT","1379"
"48","JAWA TENGAH","1120"
"49","DI YOGYAKARTA","1185"
"50","JAWA TIMUR","855"
"51","BANTEN","1248"
"52","BALI","755"
"53","NUSA TENGGARA BARAT","290"
"54","NUSA TENGGARA TIMUR","111"
"55","KALIMANTAN BARAT","37"
"56","KALIMANTAN TENGAH","18"
"57","KALIMANTAN SELATAN","106"
"58","KALIMANTAN TIMUR","30"
"59","KALIMANTAN UTARA","9"
"60","SULAWESI UTARA","190"
"61","SULAWESI TENGAH","49"
"62","SULAWESI SELATAN","196"
"63","SULAWESI TENGGARA","70"
"64","GORONTALO","105"
"65","SULAWESI BARAT","86"
"66","MALUKU","40"
"67","MALUKU UTARA","41"
"68","PAPUA BARAT","11"
"69","PAPUA","14"
"70","INDONESIA","142"
